,Date,Home Team,Away Team,Home Score,Away Score,Tournament,City,Country,Neutral,Outcome,Winning Team,Losing Team,Total Goals,Year,Decade,Month,Month Name,Day of Week
538,1920-03-13,Scotland,Northern Ireland,3,0,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,3,1920,1920,3,March,Saturday
569,1921-02-12,Scotland,Wales,2,1,British Championship,Aberdeen,Scotland,False,H,Scotland,Wales,3,1921,1920,2,February,Saturday
571,1921-02-26,Northern Ireland,Scotland,0,2,British Championship,Belfast,Ireland,False,A,Scotland,Northern Ireland,2,1921,1920,2,February,Saturday
579,1921-04-09,Scotland,England,3,0,British Championship,Glasgow,Scotland,False,H,Scotland,England,3,1921,1920,4,April,Saturday
595,1921-07-09,Canada,Scotland,0,1,Friendly,Montréal,Canada,False,A,Scotland,Canada,1,1921,1920,7,July,Saturday
625,1922-03-04,Scotland,Northern Ireland,2,1,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,3,1922,1920,3,March,Saturday
630,1922-04-08,England,Scotland,0,1,British Championship,Birmingham,England,False,A,Scotland,England,1,1922,1920,4,April,Saturday
699,1923-03-03,Northern Ireland,Scotland,0,1,British Championship,Belfast,Northern Ireland,False,A,Scotland,Northern Ireland,1,1923,1920,3,March,Saturday
703,1923-03-17,Scotland,Wales,2,0,British Championship,Paisley,Scotland,False,H,Scotland,Wales,2,1923,1920,3,March,Saturday
782,1924-03-01,Scotland,Northern Ireland,2,0,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,2,1924,1920,3,March,Saturday
860,1925-02-14,Scotland,Wales,3,1,British Championship,Edinburgh,Scotland,False,H,Scotland,Wales,4,1925,1920,2,February,Saturday
862,1925-02-28,Northern Ireland,Scotland,0,3,British Championship,Belfast,Northern Ireland,False,A,Scotland,Northern Ireland,3,1925,1920,2,February,Saturday
872,1925-04-04,Scotland,England,2,0,British Championship,Glasgow,Scotland,False,H,Scotland,England,2,1925,1920,4,April,Saturday
927,1925-10-31,Wales,Scotland,0,3,British Championship,Cardiff,Wales,False,A,Scotland,Wales,3,1925,1920,10,October,Saturday
948,1926-02-27,Scotland,Northern Ireland,4,0,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,4,1926,1920,2,February,Saturday
956,1926-04-17,England,Scotland,0,1,British Championship,Manchester,England,False,A,Scotland,England,1,1926,1920,4,April,Saturday
1014,1926-10-30,Scotland,Wales,3,0,British Championship,Glasgow,Scotland,False,H,Scotland,Wales,3,1926,1920,10,October,Saturday
1030,1927-02-26,Northern Ireland,Scotland,0,2,British Championship,Belfast,Northern Ireland,False,A,Scotland,Northern Ireland,2,1927,1920,2,February,Saturday
1117,1928-03-31,England,Scotland,1,5,British Championship,London,England,False,A,Scotland,England,6,1928,1920,3,March,Saturday
1172,1928-10-27,Scotland,Wales,4,2,British Championship,Glasgow,Scotland,False,H,Scotland,Wales,6,1928,1920,10,October,Saturday
1183,1929-02-23,Northern Ireland,Scotland,3,7,British Championship,Belfast,Northern Ireland,False,A,Scotland,Northern Ireland,10,1929,1920,2,February,Saturday
1191,1929-04-13,Scotland,England,1,0,British Championship,Glasgow,Scotland,False,H,Scotland,England,1,1929,1920,4,April,Saturday
1211,1929-05-26,Norway,Scotland,3,7,Friendly,Bergen,Norway,False,A,Scotland,Norway,10,1929,1920,5,May,Sunday
1213,1929-06-04,Netherlands,Scotland,0,2,Friendly,Amsterdam,Netherlands,False,A,Scotland,Netherlands,2,1929,1920,6,June,Tuesday
1247,1929-10-26,Wales,Scotland,2,4,British Championship,Cardiff,Wales,False,A,Scotland,Wales,6,1929,1920,10,October,Saturday
1269,1930-02-22,Scotland,Northern Ireland,3,1,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,4,1930,1930,2,February,Saturday
1291,1930-05-18,France,Scotland,0,2,Friendly,Colombes,France,False,A,Scotland,France,2,1930,1930,5,May,Sunday
1379,1931-03-28,Scotland,England,2,0,British Championship,Glasgow,Scotland,False,H,Scotland,England,2,1931,1930,3,March,Saturday
1402,1931-05-24,Switzerland,Scotland,2,3,Friendly,Geneva,Switzerland,False,A,Scotland,Switzerland,5,1931,1930,5,May,Sunday
1432,1931-09-19,Scotland,Northern Ireland,3,1,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,4,1931,1930,9,September,Saturday
1447,1931-10-31,Wales,Scotland,2,3,British Championship,Wrexham,Wales,False,A,Scotland,Wales,5,1931,1930,10,October,Saturday
1485,1932-05-08,France,Scotland,1,3,Friendly,Colombes,France,False,A,Scotland,France,4,1932,1930,5,May,Sunday
1527,1932-09-17,Northern Ireland,Scotland,0,4,British Championship,Belfast,Northern Ireland,False,A,Scotland,Northern Ireland,4,1932,1930,9,September,Saturday
1562,1933-04-01,Scotland,England,2,1,British Championship,Glasgow,Scotland,False,H,Scotland,England,3,1933,1930,4,April,Saturday
1743,1934-11-21,Scotland,Wales,3,2,British Championship,Aberdeen,Scotland,False,H,Scotland,Wales,5,1934,1930,11,November,Wednesday
1772,1935-04-06,Scotland,England,2,0,British Championship,Glasgow,Scotland,False,H,Scotland,England,2,1935,1930,4,April,Saturday
1787,1935-05-19,United States,Scotland,1,5,Friendly,New York,United States,False,A,Scotland,United States,6,1935,1930,5,May,Sunday
1794,1935-06-09,United States,Scotland,1,4,Friendly,Newark,United States,False,A,Scotland,United States,5,1935,1930,6,June,Sunday
1846,1935-11-13,Scotland,Northern Ireland,2,1,British Championship,Edinburgh,Scotland,False,H,Scotland,Northern Ireland,3,1935,1930,11,November,Wednesday
1919,1936-10-14,Scotland,Germany,2,0,Friendly,Glasgow,Scotland,False,H,Scotland,Germany,2,1936,1930,10,October,Wednesday
1924,1936-10-31,Northern Ireland,Scotland,1,3,British Championship,Belfast,Northern Ireland,False,A,Scotland,Northern Ireland,4,1936,1930,10,October,Saturday
1966,1937-04-17,Scotland,England,3,1,British Championship,Glasgow,Scotland,False,H,Scotland,England,4,1937,1930,4,April,Saturday
2052,1937-12-08,Scotland,Czechoslovakia,5,0,Friendly,Glasgow,Scotland,False,H,Scotland,Czechoslovakia,5,1937,1930,12,December,Wednesday
2082,1938-04-09,England,Scotland,0,1,British Championship,London,England,False,A,Scotland,England,1,1938,1930,4,April,Saturday
2092,1938-05-21,Netherlands,Scotland,1,3,Friendly,Amsterdam,Netherlands,False,A,Scotland,Netherlands,4,1938,1930,5,May,Saturday
2170,1938-10-08,Northern Ireland,Scotland,0,2,British Championship,Belfast,Northern Ireland,False,A,Scotland,Northern Ireland,2,1938,1930,10,October,Saturday
2181,1938-11-09,Scotland,Wales,3,2,British Championship,Edinburgh,Scotland,False,H,Scotland,Wales,5,1938,1930,11,November,Wednesday
2187,1938-12-07,Scotland,Hungary,3,1,Friendly,Glasgow,Scotland,False,H,Scotland,Hungary,4,1938,1930,12,December,Wednesday
2604,1946-04-13,Scotland,England,1,0,Friendly,Glasgow,Scotland,False,H,Scotland,England,1,1946,1940,4,April,Saturday
2612,1946-05-15,Scotland,Switzerland,3,1,Friendly,Glasgow,Scotland,False,H,Scotland,Switzerland,4,1946,1940,5,May,Wednesday
2692,1947-05-24,Luxembourg,Scotland,0,6,Friendly,Luxembourg,Luxembourg,False,A,Scotland,Luxembourg,6,1947,1940,5,May,Saturday
2836,1948-04-28,Scotland,Belgium,2,0,Friendly,Glasgow,Scotland,False,H,Scotland,Belgium,2,1948,1940,4,April,Wednesday
2906,1948-10-23,Wales,Scotland,1,3,British Championship,Cardiff,Wales,False,A,Scotland,Wales,4,1948,1940,10,October,Saturday
2915,1948-11-17,Scotland,Northern Ireland,3,2,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,5,1948,1940,11,November,Wednesday
2941,1949-04-09,England,Scotland,1,3,British Championship,London,England,False,A,Scotland,England,4,1949,1940,4,April,Saturday
2965,1949-04-27,Scotland,France,2,0,Friendly,Glasgow,Scotland,False,H,Scotland,France,2,1949,1940,4,April,Wednesday
3009,1949-06-19,United States,Scotland,0,4,Friendly,New York,United States,False,A,Scotland,United States,4,1949,1940,6,June,Sunday
3036,1949-10-01,Northern Ireland,Scotland,2,8,FIFA World Cup qualification,Belfast,Northern Ireland,False,A,Scotland,Northern Ireland,10,1949,1940,10,October,Saturday
3058,1949-11-09,Scotland,Wales,2,0,FIFA World Cup qualification,Glasgow,Scotland,False,H,Scotland,Wales,2,1949,1940,11,November,Wednesday
3100,1950-04-26,Scotland,Switzerland,3,1,Friendly,Glasgow,Scotland,False,H,Scotland,Switzerland,4,1950,1950,4,April,Wednesday
3115,1950-05-27,France,Scotland,0,1,Friendly,Colombes,France,False,A,Scotland,France,1,1950,1950,5,May,Saturday
3183,1950-10-21,Wales,Scotland,1,3,British Championship,Cardiff,Wales,False,A,Scotland,Wales,4,1950,1950,10,October,Saturday
3190,1950-11-01,Scotland,Northern Ireland,6,1,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,7,1950,1950,11,November,Wednesday
3224,1951-04-14,England,Scotland,2,3,British Championship,London,England,False,A,Scotland,England,5,1951,1950,4,April,Saturday
3230,1951-05-12,Scotland,Denmark,3,1,Friendly,Glasgow,Scotland,False,H,Scotland,Denmark,4,1951,1950,5,May,Saturday
3233,1951-05-16,Scotland,France,1,0,Friendly,Glasgow,Scotland,False,H,Scotland,France,1,1951,1950,5,May,Wednesday
