,Date,Home Team,Away Team,Home Score,Away Score,Tournament,City,Country,Neutral,Outcome,Winning Team,Losing Team,Total Goals,Year,Decade,Month,Month Name,Day of Week
31816,2009-08-12,Norway,Scotland,4,0,FIFA World Cup qualification,Oslo,Norway,False,H,Norway,Scotland,4,2009,2000,8,August,Wednesday
31931,2009-09-09,Scotland,Netherlands,0,1,FIFA World Cup qualification,Glasgow,Scotland,False,A,Netherlands,Scotland,1,2009,2000,9,September,Wednesday
31973,2009-10-10,Japan,Scotland,2,0,Friendly,Yokohama,Japan,False,H,Japan,Scotland,2,2009,2000,10,October,Saturday
32114,2009-11-14,Wales,Scotland,3,0,Friendly,Cardiff,Wales,False,H,Wales,Scotland,3,2009,2000,11,November,Saturday
32593,2010-08-11,Sweden,Scotland,3,0,Friendly,Solna,Sweden,False,H,Sweden,Scotland,3,2010,2010,8,August,Wednesday
32765,2010-10-08,Czech Republic,Scotland,1,0,UEFA Euro qualification,Prague,Czech Republic,False,H,Czech Republic,Scotland,1,2010,2010,10,October,Friday
32860,2010-10-12,Scotland,Spain,2,3,UEFA Euro qualification,Glasgow,Scotland,False,A,Spain,Scotland,5,2010,2010,10,October,Tuesday
33245,2011-03-27,Brazil,Scotland,2,0,Friendly,London,England,True,H,Brazil,Scotland,2,2011,2010,3,March,Sunday
33323,2011-05-29,Republic of Ireland,Scotland,1,0,Nations Cup,Dublin,Republic of Ireland,False,H,Republic of Ireland,Scotland,1,2011,2010,5,May,Sunday
33932,2011-10-11,Spain,Scotland,3,1,UEFA Euro qualification,Alicante,Spain,False,H,Spain,Scotland,4,2011,2010,10,October,Tuesday
34357,2012-05-26,United States,Scotland,5,1,Friendly,Jacksonville,United States,False,H,United States,Scotland,6,2012,2010,5,May,Saturday
34882,2012-10-12,Wales,Scotland,2,1,FIFA World Cup qualification,Cardiff,Wales,False,H,Wales,Scotland,3,2012,2010,10,October,Friday
34894,2012-10-16,Belgium,Scotland,2,0,FIFA World Cup qualification,Brussels,Belgium,False,H,Belgium,Scotland,2,2012,2010,10,October,Tuesday
35356,2013-03-22,Scotland,Wales,1,2,FIFA World Cup qualification,Glasgow,Scotland,False,A,Wales,Scotland,3,2013,2010,3,March,Friday
35423,2013-03-26,Serbia,Scotland,2,0,FIFA World Cup qualification,Novi Sad,Serbia,False,H,Serbia,Scotland,2,2013,2010,3,March,Tuesday
35700,2013-08-14,England,Scotland,3,2,Friendly,London,England,False,H,England,Scotland,5,2013,2010,8,August,Wednesday
35798,2013-09-06,Scotland,Belgium,0,2,FIFA World Cup qualification,Glasgow,Scotland,False,A,Belgium,Scotland,2,2013,2010,9,September,Friday
36603,2014-09-07,Germany,Scotland,2,1,UEFA Euro qualification,Dortmund,Germany,False,H,Germany,Scotland,3,2014,2010,9,September,Sunday
36911,2014-11-18,Scotland,England,1,3,Friendly,Glasgow,Scotland,False,A,England,Scotland,4,2014,2010,11,November,Tuesday
37544,2015-09-04,Georgia,Scotland,1,0,UEFA Euro qualification,Tbilisi,Georgia,False,H,Georgia,Scotland,1,2015,2010,9,September,Friday
37603,2015-09-07,Scotland,Germany,2,3,UEFA Euro qualification,Glasgow,Scotland,False,A,Germany,Scotland,5,2015,2010,9,September,Monday
38233,2016-05-29,Italy,Scotland,1,0,Friendly,Attard,Malta,True,H,Italy,Scotland,1,2016,2010,5,May,Sunday
38322,2016-06-04,France,Scotland,3,0,Friendly,Metz,France,False,H,France,Scotland,3,2016,2010,6,June,Saturday
38740,2016-10-11,Slovakia,Scotland,3,0,FIFA World Cup qualification,Trnava,Slovakia,False,H,Slovakia,Scotland,3,2016,2010,10,October,Tuesday
38789,2016-11-11,England,Scotland,3,0,FIFA World Cup qualification,London,England,False,H,England,Scotland,3,2016,2010,11,November,Friday
39708,2017-11-09,Scotland,Netherlands,0,1,Friendly,Aberdeen,Scotland,False,A,Netherlands,Scotland,1,2017,2010,11,November,Thursday
39960,2018-03-23,Scotland,Costa Rica,0,1,Friendly,Glasgow,Scotland,False,A,Costa Rica,Scotland,1,2018,2010,3,March,Friday
40087,2018-05-29,Peru,Scotland,2,0,Friendly,Lima,Peru,False,H,Peru,Scotland,2,2018,2010,5,May,Tuesday
40125,2018-06-02,Mexico,Scotland,1,0,Friendly,Mexico City,Mexico,False,H,Mexico,Scotland,1,2018,2010,6,June,Saturday
40359,2018-09-07,Scotland,Belgium,0,4,Friendly,Glasgow,Scotland,False,A,Belgium,Scotland,4,2018,2010,9,September,Friday
40462,2018-10-11,Israel,Scotland,2,1,UEFA Nations League,Haifa,Israel,False,H,Israel,Scotland,3,2018,2010,10,October,Thursday
40533,2018-10-14,Scotland,Portugal,1,3,Friendly,Glasgow,Scotland,False,A,Portugal,Scotland,4,2018,2010,10,October,Sunday
40856,2019-03-21,Kazakhstan,Scotland,3,0,UEFA Euro qualification,Nur-Sultan,Kazakhstan,False,H,Kazakhstan,Scotland,3,2019,2010,3,March,Thursday
41110,2019-06-11,Belgium,Scotland,3,0,UEFA Euro qualification,Brussels,Belgium,False,H,Belgium,Scotland,3,2019,2010,6,June,Tuesday
41411,2019-09-06,Scotland,Russia,1,2,UEFA Euro qualification,Glasgow,Scotland,False,A,Russia,Scotland,3,2019,2010,9,September,Friday
41464,2019-09-09,Scotland,Belgium,0,4,UEFA Euro qualification,Glasgow,Scotland,False,A,Belgium,Scotland,4,2019,2010,9,September,Monday
41559,2019-10-10,Russia,Scotland,4,0,UEFA Euro qualification,Moscow,Russia,False,H,Russia,Scotland,4,2019,2010,10,October,Thursday
42176,2020-11-15,Slovakia,Scotland,1,0,UEFA Nations League,Trnava,Slovakia,False,H,Slovakia,Scotland,1,2020,2020,11,November,Sunday
42219,2020-11-18,Israel,Scotland,1,0,UEFA Nations League,Netanya,Israel,False,H,Israel,Scotland,1,2020,2020,11,November,Wednesday
42626,2021-06-14,Scotland,Czech Republic,0,2,UEFA Euro,Glasgow,Scotland,False,A,Czech Republic,Scotland,2,2021,2020,6,June,Monday
42681,2021-06-22,Scotland,Croatia,1,3,UEFA Euro,Glasgow,Scotland,False,A,Croatia,Scotland,4,2021,2020,6,June,Tuesday
42811,2021-09-01,Denmark,Scotland,2,0,FIFA World Cup qualification,Copenhagen,Denmark,False,H,Denmark,Scotland,2,2021,2020,9,September,Wednesday
43628,2022-06-01,Scotland,Ukraine,1,3,FIFA World Cup qualification,Glasgow,Scotland,False,A,Ukraine,Scotland,4,2022,2020,6,June,Wednesday
43845,2022-06-11,Republic of Ireland,Scotland,3,0,UEFA Nations League,Dublin,Republic of Ireland,False,H,Republic of Ireland,Scotland,3,2022,2020,6,June,Saturday
